funders,count
National Natural Science Foundation of China,71
EDS,66
Celgard,64
American Chemical Society,29
National Science Foundation,25
National Research Foundation,23
Hitachi,21
U.S. Department of Energy,19
American Chemical Society.,18
Royal Society,18
Chinese Academy of Sciences,17
Samsung,16
American Chemical Society,,15
Ministry of Education,11
Research and Development,11
Argonne National Laboratory,10
U.S. Department of Energy,,10
Office of Science,9
Tsinghua University,8
Ministry of Education,,8
Applied Materials,8
Office of Science,,7
Shanghai Jiao Tong University,,7
Wuhan University,7
Office of Energy,6
Central South University,,6
Philips,6
EMC,6
Argonne National Laboratory,,5
University of California,,5
National Natural Science Foundation of China,,5
Paul Scherrer Institut,5
China Postdoctoral Science Foundation,5
Tsinghua University,,5
Argonne National Laboratory.,5
Japan Science and Technology Agency,5
Nanyang Technological University,,4
University of Electronic Science and Technology of China,,4
University of Tokyo,,4
Japan Society for the Promotion of Science,4
Ministry of Science and Technology,4
Ulsan National Institute of Science and Technology,4
Royal Academy of Engineering,4
Korea Institute of Science and Technology,4
Korea Institute of Energy Technology Evaluation and Planning,4
Shanghai Jiao Tong University,4
Program for New Century Excellent Talents in University,4
Fudan University,4
U.S. Geological Survey,4
Stanford University,,4
Lawrence Berkeley National Laboratory,4
Basic Energy Sciences,4
Boeing,4
Kyoto University,4
Brookhaven National Laboratory,,4
Brookhaven National Laboratory,4
Australian Research Council,3
Shandong Province,3
European Parliament,3
Chinese Academy of Sciences,,3
Small and Medium Business Administration,3
Central South University,3
American Association for the Advancement of Science,3
European Commission,3
Harbin Institute of Technology,3
Basic Energy Sciences,,3
Thermo Scientific,3
Beijing University of Technology,,3
Tianjin University,,3
Bundesministerium für Bildung und Forschung,3
Nanjing University of Posts and Telecommunications,,3
Ministry of Science and Technology,,3
Tianjin University,3
Korea Research Institute of Standards and Science,3
National Academy of Sciences,3
University of Tokyo,3
Hunan University,3
Orange,3
Korea University,3
Merck,3
Purdue University,,3
Institute of Physics,3
Natural Science Foundation of Zhejiang Province,2
Huazhong University of Science and Technology,,2
University of California,2
American Institute of Physics,2
Northeastern University,2
Environmental Protection Agency,2
University of Michigan,2
King Abdullah University of Science and Technology,2
South China Normal University,,2
United Nations,2
Kansas State University,2
Technische Universität München,2
Ritsumeikan University,2
Nanjing University of Science and Technology,2
Basic Energy Sciences.,2
Zhejiang University,2
Laboratory Directed Research and Development,2
EMI,2
European Commission,,2
National Tsing Hua University,,2
Donghua University,2
Jiangsu University,2
Harbin Institute of Technology,,2
Chongqing University,,2
Engineering Laboratory,2
Jiangnan University,2
Thermo Scientific,,2
Beihang University,,2
Science and Engineering Research Board,2
Ministry of Knowledge Economy,,2
University of Hong Kong,,2
Nanjing University of Posts and Telecommunications,2
